,Date,Price (Euros)
0,02.08.2022,0.12
1,03.08.2022,0.12
2,05.08.2022,0.14
3,06.08.2022,0.08
4,07.08.2022,0.15
5,08.08.2022,0.09
6,09.08.2022,0.18
7,10.08.2022,0.08
8,12.08.2022,0.09
9,14.08.2022,0.05
10,15.08.2022,0.11
11,18.08.2022,0.38
12,19.08.2022,0.04
13,20.08.2022,0.05
14,21.08.2022,0.05
15,23.08.2022,0.12
16,24.08.2022,0.14
17,25.08.2022,0.06
18,30.08.2022,0.05
19,31.08.2022,0.16
20,01.09.2022,0.15
21,02.09.2022,0.12
22,05.09.2022,0.49
23,06.09.2022,0.06
24,07.09.2022,0.05
25,09.09.2022,0.29
26,13.09.2022,0.1
27,14.09.2022,0.25
28,16.09.2022,0.35
29,22.09.2022,0.42
