,Date,Price (Euros)
0,24.08.2022,2.67
1,25.08.2022,2.0
2,26.08.2022,0.92
3,27.08.2022,1.56
4,28.08.2022,2.0
5,29.08.2022,2.77
6,30.08.2022,2.34
7,31.08.2022,1.04
8,01.09.2022,1.16
9,02.09.2022,1.33
10,03.09.2022,1.57
11,04.09.2022,1.68
12,05.09.2022,2.24
13,06.09.2022,1.97
14,07.09.2022,1.41
15,08.09.2022,1.57
16,09.09.2022,1.27
17,11.09.2022,1.95
18,12.09.2022,1.18
19,13.09.2022,3.66
20,14.09.2022,1.76
21,15.09.2022,1.86
22,16.09.2022,0.99
23,17.09.2022,1.49
24,18.09.2022,1.7
25,19.09.2022,2.19
26,20.09.2022,1.55
27,21.09.2022,1.32
28,22.09.2022,1.4
29,23.09.2022,0.99
