,Date,Price (Euros)
0,26.07.2022,0.3
1,27.07.2022,0.45
2,29.07.2022,0.06
3,30.07.2022,0.09
4,02.08.2022,0.06
5,03.08.2022,0.05
6,04.08.2022,0.07
7,06.08.2022,0.19
8,08.08.2022,0.1
9,09.08.2022,0.35
10,11.08.2022,0.1
11,14.08.2022,0.13
12,15.08.2022,0.5
13,16.08.2022,0.22
14,17.08.2022,0.19
15,19.08.2022,0.02
16,21.08.2022,0.18
17,22.08.2022,0.19
18,23.08.2022,0.5
19,24.08.2022,0.26
20,29.08.2022,0.14
21,30.08.2022,0.04
22,01.09.2022,0.04
23,03.09.2022,0.02
24,06.09.2022,0.19
25,07.09.2022,0.15
26,12.09.2022,0.19
27,14.09.2022,0.02
28,15.09.2022,0.18
29,21.09.2022,0.46
