,Date,Price (Euros)
0,24.08.2022,0.2
1,25.08.2022,0.22
2,26.08.2022,0.11
3,27.08.2022,0.08
4,28.08.2022,0.29
5,29.08.2022,0.06
6,30.08.2022,0.09
7,31.08.2022,0.15
8,01.09.2022,0.11
9,02.09.2022,0.08
10,03.09.2022,0.04
11,04.09.2022,0.18
12,05.09.2022,0.1
13,06.09.2022,0.11
14,07.09.2022,0.07
15,08.09.2022,0.17
16,09.09.2022,0.16
17,10.09.2022,0.04
18,11.09.2022,0.15
19,12.09.2022,0.06
20,13.09.2022,0.22
21,14.09.2022,0.08
22,15.09.2022,0.13
23,16.09.2022,0.2
24,17.09.2022,0.16
25,18.09.2022,0.15
26,19.09.2022,0.06
27,20.09.2022,0.02
28,21.09.2022,0.39
29,22.09.2022,0.15
