,Date,Price (Euros)
0,29.07.2022,59.9
1,30.07.2022,69.89
2,01.08.2022,51.0
3,08.08.2022,47.0
4,10.08.2022,56.0
5,15.08.2022,39.99
6,17.08.2022,44.9
7,18.08.2022,86.65
8,19.08.2022,52.49
9,20.08.2022,49.99
10,23.08.2022,81.5
11,24.08.2022,55.0
12,26.08.2022,47.66
13,28.08.2022,47.66
14,29.08.2022,43.0
15,31.08.2022,139.93
16,03.09.2022,51.5
17,04.09.2022,50.0
18,05.09.2022,85.0
19,06.09.2022,47.99
20,08.09.2022,53.99
21,10.09.2022,52.99
22,11.09.2022,45.33
23,12.09.2022,50.25
24,13.09.2022,52.95
25,14.09.2022,49.99
26,16.09.2022,45.0
27,18.09.2022,44.99
28,20.09.2022,44.95
29,21.09.2022,43.99
