,Date,Price (Euros)
0,23.08.2022,4.0
1,24.08.2022,3.35
2,25.08.2022,3.98
3,26.08.2022,3.96
4,27.08.2022,3.8
5,28.08.2022,3.63
6,29.08.2022,3.84
7,30.08.2022,3.85
8,31.08.2022,3.39
9,01.09.2022,3.34
10,02.09.2022,2.99
11,03.09.2022,4.1
12,04.09.2022,3.85
13,05.09.2022,3.99
14,06.09.2022,4.11
15,07.09.2022,3.96
16,08.09.2022,3.97
17,09.09.2022,3.98
18,10.09.2022,3.78
19,11.09.2022,2.75
20,12.09.2022,3.93
21,13.09.2022,3.73
22,14.09.2022,3.92
23,15.09.2022,3.95
24,16.09.2022,3.82
25,17.09.2022,4.52
26,18.09.2022,4.15
27,19.09.2022,3.72
28,20.09.2022,3.98
29,21.09.2022,3.76
30,22.09.2022,3.92
31,23.09.2022,3.42
32,24.09.2022,3.82
33,26.09.2022,3.8
34,27.09.2022,3.87
35,28.09.2022,3.95
36,29.09.2022,3.77
37,30.09.2022,4.05
38,01.10.2022,4.0
39,02.10.2022,4.01
40,03.10.2022,4.05
41,04.10.2022,3.79
42,05.10.2022,3.95
