,Date,Price (Euros)
0,29.06.2022,0.12
1,01.07.2022,0.02
2,03.07.2022,0.09
3,05.07.2022,0.05
4,06.07.2022,0.02
5,08.07.2022,0.02
6,09.07.2022,0.15
7,12.07.2022,0.05
8,16.07.2022,0.1
9,17.07.2022,0.14
10,22.07.2022,0.13
11,26.07.2022,0.08
12,30.07.2022,0.09
13,01.08.2022,0.02
14,02.08.2022,0.08
15,04.08.2022,0.26
16,05.08.2022,0.05
17,09.08.2022,0.12
18,10.08.2022,0.02
19,13.08.2022,0.11
20,14.08.2022,0.39
21,16.08.2022,0.09
22,17.08.2022,0.04
23,18.08.2022,0.05
24,24.08.2022,0.1
25,31.08.2022,0.12
26,05.09.2022,0.1
27,10.09.2022,0.09
28,19.09.2022,0.02
29,21.09.2022,0.02
30,26.09.2022,0.02
31,04.10.2022,0.02
