,Date,Price (Euros)
0,12.07.2022,0.06
1,17.07.2022,0.14
2,18.07.2022,0.12
3,19.07.2022,0.35
4,20.07.2022,0.13
5,22.07.2022,0.13
6,24.07.2022,0.09
7,25.07.2022,0.02
8,26.07.2022,0.08
9,27.07.2022,0.1
10,28.07.2022,0.02
11,30.07.2022,0.14
12,01.08.2022,0.02
13,02.08.2022,0.33
14,03.08.2022,0.05
15,05.08.2022,0.05
16,06.08.2022,0.02
17,07.08.2022,0.24
18,09.08.2022,0.24
19,10.08.2022,0.05
20,12.08.2022,0.05
21,13.08.2022,0.02
22,21.08.2022,0.02
23,24.08.2022,0.1
24,31.08.2022,0.11
25,01.09.2022,0.09
26,03.09.2022,0.49
27,05.09.2022,0.1
28,07.09.2022,0.08
29,20.09.2022,0.15
30,25.09.2022,0.09
31,28.09.2022,0.15
32,30.09.2022,0.15
33,04.10.2022,0.02
