,Date,Price (Euros)
0,21.08.2022,2.98
1,23.08.2022,2.71
2,24.08.2022,3.38
3,25.08.2022,2.74
4,26.08.2022,2.2
5,27.08.2022,2.88
6,28.08.2022,3.89
7,29.08.2022,2.33
8,30.08.2022,2.97
9,31.08.2022,4.95
10,01.09.2022,3.03
11,02.09.2022,3.35
12,03.09.2022,2.81
13,04.09.2022,3.15
14,05.09.2022,3.15
15,06.09.2022,2.6
16,07.09.2022,3.54
17,08.09.2022,3.13
18,09.09.2022,3.02
19,11.09.2022,3.46
20,12.09.2022,2.62
21,13.09.2022,2.65
22,14.09.2022,3.45
23,15.09.2022,3.49
24,16.09.2022,3.35
25,17.09.2022,3.05
26,18.09.2022,2.93
27,19.09.2022,3.38
28,20.09.2022,2.87
29,21.09.2022,2.77
30,22.09.2022,2.68
31,23.09.2022,2.96
32,24.09.2022,2.75
33,25.09.2022,3.44
34,26.09.2022,3.27
35,27.09.2022,2.7
36,28.09.2022,2.77
37,29.09.2022,2.89
38,30.09.2022,3.54
39,01.10.2022,2.96
40,02.10.2022,3.53
41,03.10.2022,2.92
42,04.10.2022,3.52
43,05.10.2022,3.75
