,Date,Price (Euros)
0,20.05.2022,0.12
1,23.05.2022,0.1
2,24.05.2022,0.05
3,28.05.2022,0.09
4,05.06.2022,0.02
5,06.06.2022,0.07
6,09.06.2022,0.02
7,10.06.2022,0.08
8,13.06.2022,0.12
9,15.06.2022,0.19
10,19.06.2022,0.12
11,21.06.2022,0.19
12,22.06.2022,0.02
13,24.06.2022,0.23
14,02.07.2022,0.24
15,04.07.2022,0.02
16,06.07.2022,0.02
17,23.07.2022,0.09
18,24.07.2022,0.16
19,25.07.2022,0.02
20,01.08.2022,0.02
21,02.08.2022,0.05
22,05.08.2022,0.05
23,09.08.2022,0.02
24,18.08.2022,0.05
25,19.08.2022,0.02
26,25.08.2022,0.02
27,30.08.2022,0.14
28,01.09.2022,0.02
29,05.09.2022,0.16
30,23.09.2022,0.02
31,29.09.2022,0.15
32,04.10.2022,0.02
