,Date,Price (Euros)
0,13.08.2022,0.07
1,14.08.2022,0.25
2,16.08.2022,0.16
3,18.08.2022,0.14
4,21.08.2022,0.49
5,22.08.2022,0.19
6,23.08.2022,0.25
7,24.08.2022,0.66
8,25.08.2022,0.18
9,27.08.2022,0.24
10,28.08.2022,0.35
11,30.08.2022,0.29
12,31.08.2022,0.1
13,01.09.2022,0.31
14,02.09.2022,0.09
15,03.09.2022,0.09
16,04.09.2022,1.1
17,05.09.2022,0.28
18,06.09.2022,0.08
19,07.09.2022,0.13
20,09.09.2022,0.29
21,11.09.2022,0.25
22,13.09.2022,0.25
23,14.09.2022,0.12
24,16.09.2022,0.13
25,17.09.2022,0.1
26,18.09.2022,0.1
27,19.09.2022,0.16
28,20.09.2022,0.2
29,21.09.2022,0.14
30,27.09.2022,0.09
31,29.09.2022,0.1
32,30.09.2022,0.1
33,01.10.2022,0.17
34,03.10.2022,0.3
