,Date,Price (Euros)
0,05.08.2022,0.19
1,06.08.2022,0.19
2,07.08.2022,0.12
3,08.08.2022,0.09
4,10.08.2022,0.1
5,11.08.2022,0.1
6,12.08.2022,0.15
7,14.08.2022,0.05
8,16.08.2022,0.2
9,18.08.2022,0.14
10,23.08.2022,0.27
11,25.08.2022,0.09
12,28.08.2022,0.15
13,30.08.2022,0.19
14,31.08.2022,0.17
15,02.09.2022,0.09
16,03.09.2022,0.09
17,05.09.2022,0.09
18,06.09.2022,0.09
19,07.09.2022,0.2
20,08.09.2022,0.18
21,09.09.2022,0.29
22,13.09.2022,0.2
23,14.09.2022,0.13
24,16.09.2022,0.11
25,17.09.2022,0.1
26,18.09.2022,0.05
27,19.09.2022,0.3
28,20.09.2022,0.18
29,21.09.2022,0.14
30,22.09.2022,0.19
31,23.09.2022,0.29
32,25.09.2022,0.25
33,27.09.2022,0.09
34,28.09.2022,0.2
35,29.09.2022,0.19
36,30.09.2022,0.05
37,01.10.2022,0.18
38,03.10.2022,0.3
39,05.10.2022,0.12
