,Date,Price (Euros)
0,01.08.2022,0.1
1,03.08.2022,0.35
2,04.08.2022,0.15
3,05.08.2022,0.14
4,06.08.2022,0.18
5,07.08.2022,0.33
6,08.08.2022,0.19
7,09.08.2022,0.11
8,10.08.2022,0.22
9,14.08.2022,0.08
10,18.08.2022,0.15
11,19.08.2022,0.09
12,21.08.2022,0.18
13,22.08.2022,0.3
14,23.08.2022,0.14
15,25.08.2022,0.1
16,28.08.2022,0.1
17,29.08.2022,0.05
18,30.08.2022,0.35
19,02.09.2022,0.07
20,03.09.2022,0.11
21,04.09.2022,0.1
22,05.09.2022,0.29
23,07.09.2022,0.14
24,10.09.2022,0.18
25,12.09.2022,0.12
26,13.09.2022,0.1
27,15.09.2022,0.12
28,16.09.2022,0.09
29,20.09.2022,0.2
30,23.09.2022,0.4
31,24.09.2022,0.2
32,29.09.2022,0.15
33,01.10.2022,0.13
34,02.10.2022,0.09
35,03.10.2022,0.2
36,04.10.2022,0.13
37,05.10.2022,0.2
