,Date,Price (Euros)
0,19.06.2022,0.15
1,21.06.2022,0.2
2,22.06.2022,0.02
3,24.06.2022,0.09
4,25.06.2022,0.08
5,26.06.2022,0.09
6,27.06.2022,0.1
7,04.07.2022,0.2
8,12.07.2022,0.09
9,18.07.2022,0.18
10,20.07.2022,0.3
11,22.07.2022,0.29
12,25.07.2022,0.1
13,01.08.2022,0.02
14,03.08.2022,0.05
15,04.08.2022,0.1
16,05.08.2022,0.05
17,09.08.2022,0.09
18,11.08.2022,0.25
19,12.08.2022,0.08
20,18.08.2022,0.1
21,19.08.2022,0.08
22,24.08.2022,0.24
23,26.08.2022,0.09
24,27.08.2022,0.05
25,03.09.2022,0.16
26,05.09.2022,0.12
27,06.09.2022,0.16
28,19.09.2022,0.19
29,21.09.2022,0.16
30,26.09.2022,0.07
31,30.09.2022,0.09
32,04.10.2022,0.07
