,Date,Price (Euros)
0,15.05.2022,0.14
1,17.05.2022,0.06
2,18.05.2022,0.07
3,20.05.2022,0.19
4,21.05.2022,0.07
5,27.05.2022,0.02
6,29.05.2022,0.09
7,30.05.2022,0.1
8,31.05.2022,0.03
9,01.06.2022,0.12
10,09.06.2022,0.05
11,13.06.2022,0.14
12,21.06.2022,0.19
13,28.06.2022,0.02
14,04.07.2022,0.1
15,07.07.2022,0.02
16,08.07.2022,0.1
17,18.07.2022,0.02
18,23.07.2022,0.49
19,26.07.2022,0.09
20,03.08.2022,0.02
21,05.08.2022,0.05
22,08.08.2022,0.2
23,19.08.2022,0.02
24,21.08.2022,0.05
25,05.09.2022,0.09
26,07.09.2022,0.09
27,12.09.2022,0.03
28,14.09.2022,0.1
29,19.09.2022,0.15
30,29.09.2022,0.16
31,30.09.2022,0.07
32,04.10.2022,0.02
