,Date,Price (Euros)
0,03.04.2022,0.08
1,04.04.2022,0.08
2,12.04.2022,0.09
3,13.04.2022,0.03
4,24.04.2022,0.12
5,25.04.2022,0.04
6,07.05.2022,0.02
7,08.05.2022,0.05
8,13.05.2022,0.08
9,14.05.2022,0.25
10,15.05.2022,0.02
11,17.05.2022,0.02
12,20.05.2022,0.19
13,21.05.2022,0.07
14,23.05.2022,0.19
15,30.05.2022,0.02
16,31.05.2022,0.04
17,20.06.2022,0.02
18,21.06.2022,0.19
19,28.06.2022,0.08
20,08.07.2022,0.1
21,26.07.2022,0.09
22,01.08.2022,0.02
23,03.08.2022,0.02
24,05.08.2022,0.05
25,19.08.2022,0.11
26,21.08.2022,0.05
27,23.08.2022,0.1
28,12.09.2022,0.05
29,14.09.2022,0.25
30,27.09.2022,0.02
31,29.09.2022,0.16
32,30.09.2022,0.08
