,Date,Price (Euros)
0,16.07.2022,0.06
1,18.07.2022,0.2
2,22.07.2022,0.02
3,26.07.2022,0.03
4,29.07.2022,0.5
5,01.08.2022,0.02
6,03.08.2022,0.49
7,05.08.2022,0.02
8,06.08.2022,0.02
9,07.08.2022,0.06
10,12.08.2022,0.04
11,13.08.2022,0.25
12,14.08.2022,0.02
13,15.08.2022,0.05
14,16.08.2022,0.02
15,19.08.2022,0.02
16,20.08.2022,0.39
17,22.08.2022,0.24
18,25.08.2022,0.13
19,28.08.2022,0.1
20,29.08.2022,0.2
21,30.08.2022,0.12
22,01.09.2022,0.29
23,03.09.2022,0.05
24,05.09.2022,0.05
25,06.09.2022,0.07
26,10.09.2022,0.1
27,17.09.2022,0.19
28,20.09.2022,0.25
29,21.09.2022,0.25
