,Date,Price (Euros)
0,04.07.2022,0.05
1,05.07.2022,0.03
2,06.07.2022,0.02
3,08.07.2022,0.1
4,18.07.2022,0.02
5,19.07.2022,0.02
6,23.07.2022,0.14
7,25.07.2022,0.02
8,01.08.2022,0.03
9,02.08.2022,0.12
10,06.08.2022,0.2
11,09.08.2022,0.02
12,10.08.2022,0.25
13,11.08.2022,0.1
14,12.08.2022,0.2
15,14.08.2022,0.02
16,16.08.2022,0.1
17,18.08.2022,0.03
18,25.08.2022,0.09
19,01.09.2022,0.03
20,02.09.2022,0.1
21,03.09.2022,0.23
22,08.09.2022,0.1
23,09.09.2022,0.05
24,11.09.2022,0.1
25,16.09.2022,0.03
26,17.09.2022,0.1
27,19.09.2022,0.03
28,20.09.2022,0.09
29,21.09.2022,0.09
