,Date,Price (Euros)
0,07.10.2021,0.1
1,15.10.2021,0.05
2,19.10.2021,0.35
3,26.11.2021,0.08
4,07.12.2021,0.1
5,12.12.2021,0.39
6,31.12.2021,0.04
7,07.01.2022,0.08
8,11.01.2022,0.03
9,13.01.2022,0.05
10,23.01.2022,0.1
11,08.02.2022,0.09
12,18.02.2022,0.1
13,27.02.2022,0.1
14,24.03.2022,0.05
15,29.03.2022,0.08
16,01.04.2022,0.1
17,09.05.2022,0.19
18,18.05.2022,0.1
19,25.05.2022,0.09
20,26.05.2022,0.14
21,02.06.2022,0.05
22,22.06.2022,0.2
23,16.07.2022,0.02
24,19.07.2022,0.14
25,28.07.2022,0.05
26,06.08.2022,0.35
27,30.08.2022,0.05
28,04.09.2022,0.1
29,11.09.2022,0.1
