,Date,Price (Euros)
0,29.04.2022,0.1
1,30.04.2022,0.14
2,09.05.2022,0.13
3,13.05.2022,0.17
4,14.05.2022,0.15
5,18.05.2022,0.05
6,20.05.2022,0.17
7,25.05.2022,0.12
8,29.05.2022,0.2
9,31.05.2022,0.15
10,02.06.2022,0.15
11,11.06.2022,0.16
12,23.06.2022,0.25
13,24.06.2022,0.17
14,02.07.2022,0.2
15,13.07.2022,0.25
16,19.07.2022,0.13
17,26.07.2022,0.1
18,28.07.2022,0.25
19,29.07.2022,0.1
20,31.07.2022,0.1
21,01.08.2022,0.39
22,05.08.2022,0.08
23,14.08.2022,0.2
24,15.08.2022,0.04
25,17.08.2022,0.05
26,23.08.2022,0.49
27,25.08.2022,0.15
28,31.08.2022,0.49
29,01.09.2022,0.2
