,Date,Price (Euros)
0,02.06.2022,1.65
1,04.06.2022,0.88
2,11.06.2022,0.3
3,14.06.2022,0.35
4,22.06.2022,1.57
5,25.06.2022,0.8
6,04.07.2022,0.9
7,06.07.2022,1.99
8,12.07.2022,0.45
9,13.07.2022,3.0
10,14.07.2022,1.5
11,16.07.2022,0.78
12,26.07.2022,1.66
13,27.07.2022,1.7
14,28.07.2022,1.95
15,30.07.2022,1.44
16,31.07.2022,1.99
17,10.08.2022,2.39
18,20.08.2022,2.99
19,21.08.2022,1.99
20,23.08.2022,2.95
21,25.08.2022,3.99
22,30.08.2022,1.4
23,04.09.2022,3.99
24,07.09.2022,0.49
25,10.09.2022,1.88
26,12.09.2022,0.85
27,13.09.2022,1.88
28,14.09.2022,3.64
29,15.09.2022,0.45
