,Date,Price (Euros)
0,15.05.2022,0.25
1,17.05.2022,0.25
2,29.05.2022,0.5
3,31.05.2022,0.9
4,02.06.2022,0.69
5,09.06.2022,0.29
6,12.06.2022,0.44
7,15.06.2022,0.75
8,16.06.2022,0.45
9,20.06.2022,0.46
10,26.06.2022,0.29
11,16.07.2022,0.76
12,17.07.2022,0.05
13,04.08.2022,0.3
14,05.08.2022,0.75
15,19.08.2022,0.09
16,24.08.2022,0.2
17,26.08.2022,0.39
18,27.08.2022,3.0
19,03.09.2022,0.99
20,04.09.2022,0.89
21,05.09.2022,0.69
22,06.09.2022,0.9
23,07.09.2022,0.3
24,09.09.2022,1.06
25,14.09.2022,0.95
26,15.09.2022,0.2
27,16.09.2022,0.29
28,18.09.2022,1.74
29,20.09.2022,0.07
