,Date,Price (Euros)
0,29.01.2021,69.99
1,02.02.2021,75.0
2,07.02.2021,60.0
3,11.02.2021,85.0
4,21.03.2021,50.0
5,24.03.2021,53.33
6,27.03.2021,35.0
7,15.04.2021,40.0
8,25.04.2021,41.0
9,01.06.2021,39.0
10,03.06.2021,42.0
11,11.06.2021,59.0
12,16.06.2021,39.0
13,23.06.2021,92.47
14,22.08.2021,80.0
15,30.08.2021,35.0
16,04.09.2021,38.33
17,11.09.2021,99.98
18,22.09.2021,70.0
19,01.10.2021,38.0
20,01.02.2022,39.0
21,02.03.2022,43.0
22,26.03.2022,63.18
23,15.05.2022,40.0
24,06.07.2022,32.0
25,31.07.2022,40.0
26,05.08.2022,42.0
27,01.09.2022,49.99
28,02.09.2022,38.0
29,17.09.2022,37.8
