,Date,Price (Euros)
0,01.05.2022,1.97
1,08.05.2022,0.92
2,12.05.2022,1.42
3,14.05.2022,0.85
4,17.05.2022,0.5
5,18.05.2022,0.4
6,19.05.2022,1.2
7,20.05.2022,1.19
8,02.06.2022,0.95
9,04.06.2022,0.99
10,09.06.2022,0.4
11,15.06.2022,1.5
12,19.06.2022,0.35
13,24.06.2022,0.4
14,27.06.2022,0.89
15,30.06.2022,0.3
16,15.07.2022,0.4
17,18.07.2022,1.05
18,20.07.2022,1.44
19,23.07.2022,0.3
20,28.07.2022,0.31
21,29.07.2022,1.11
22,31.07.2022,1.51
23,10.08.2022,2.95
24,22.08.2022,1.87
25,26.08.2022,0.79
26,30.08.2022,1.7
27,04.09.2022,0.5
28,10.09.2022,1.43
29,13.09.2022,1.89
