,Date,Price (Euros)
0,30.06.2022,1.9
1,04.07.2022,0.3
2,05.07.2022,1.95
3,08.07.2022,0.75
4,12.07.2022,0.49
5,15.07.2022,0.95
6,17.07.2022,0.49
7,19.07.2022,0.15
8,01.08.2022,1.4
9,03.08.2022,0.45
10,07.08.2022,1.0
11,14.08.2022,1.0
12,16.08.2022,1.0
13,17.08.2022,0.6
14,18.08.2022,0.15
15,20.08.2022,1.0
16,21.08.2022,0.25
17,22.08.2022,2.0
18,23.08.2022,0.44
19,24.08.2022,1.13
20,28.08.2022,1.0
21,29.08.2022,1.0
22,01.09.2022,0.5
23,03.09.2022,0.25
24,04.09.2022,0.5
25,07.09.2022,1.0
26,08.09.2022,0.25
27,09.09.2022,1.0
28,14.09.2022,1.5
29,20.09.2022,2.0
30,23.09.2022,0.99
31,24.09.2022,1.0
32,29.09.2022,2.0
33,01.10.2022,0.75
34,05.10.2022,1.95
