,Date,Price (Euros)
0,25.08.2022,2.02
1,26.08.2022,1.3
2,27.08.2022,1.64
3,28.08.2022,1.79
4,29.08.2022,1.42
5,30.08.2022,1.74
6,31.08.2022,1.85
7,01.09.2022,1.87
8,02.09.2022,1.9
9,03.09.2022,1.51
10,04.09.2022,1.59
11,05.09.2022,1.52
12,06.09.2022,1.93
13,07.09.2022,1.75
14,08.09.2022,2.05
15,09.09.2022,1.44
16,10.09.2022,1.53
17,11.09.2022,1.34
18,12.09.2022,1.76
19,13.09.2022,1.55
20,14.09.2022,1.77
21,15.09.2022,1.46
22,16.09.2022,1.83
23,17.09.2022,2.05
24,18.09.2022,1.69
25,19.09.2022,1.63
26,20.09.2022,2.02
27,21.09.2022,2.07
28,22.09.2022,2.34
29,23.09.2022,2.07
