,Date,Price (Euros)
0,22.07.2021,4.99
1,25.07.2021,5.5
2,28.07.2021,8.95
3,04.08.2021,4.99
4,26.08.2021,5.95
5,04.09.2021,8.99
6,20.09.2021,5.94
7,29.11.2021,6.29
8,30.11.2021,5.5
9,01.01.2022,7.99
10,07.01.2022,13.0
11,12.01.2022,5.98
12,29.01.2022,8.98
13,01.02.2022,8.99
14,05.02.2022,8.99
15,15.02.2022,8.99
16,08.03.2022,8.98
17,11.03.2022,8.99
18,16.04.2022,7.95
19,27.04.2022,9.99
20,10.05.2022,7.5
21,11.05.2022,10.99
22,15.05.2022,8.63
23,24.05.2022,7.99
24,06.07.2022,5.0
25,09.07.2022,6.98
26,11.07.2022,7.0
27,15.07.2022,8.75
28,23.07.2022,8.99
29,01.10.2022,8.85
