,Date,Price (Euros)
0,03.05.2017,10.0
1,04.05.2017,12.5
2,05.05.2017,14.99
3,09.05.2017,10.0
4,13.05.2017,15.0
5,16.05.2017,5.0
6,18.05.2017,14.99
7,23.05.2017,14.9
8,01.06.2017,9.99
9,08.06.2017,8.99
10,13.06.2017,12.8
11,19.06.2017,12.49
12,28.06.2017,12.49
13,02.07.2017,12.49
14,04.07.2017,515.0
15,05.07.2017,19.99
16,10.07.2017,459.99
17,24.04.2018,484.95
18,25.04.2018,460.0
19,30.04.2018,500.0
20,11.06.2018,560.0
21,17.05.2019,10.0
22,14.07.2020,999.99
23,22.07.2020,1490.0
24,09.10.2020,1950.0
25,12.10.2020,2499.0
26,14.07.2021,2850.0
27,27.07.2021,2750.0
28,03.01.2022,2591.0
29,12.09.2022,2100.0
