,Date,Price (Euros)
0,17.08.2022,0.08
1,18.08.2022,0.06
2,20.08.2022,0.19
3,21.08.2022,0.1
4,22.08.2022,0.13
5,23.08.2022,0.15
6,24.08.2022,0.13
7,25.08.2022,0.1
8,26.08.2022,0.14
9,28.08.2022,0.04
10,29.08.2022,0.13
11,30.08.2022,0.08
12,31.08.2022,0.1
13,01.09.2022,0.04
14,03.09.2022,0.2
15,04.09.2022,0.06
16,05.09.2022,0.2
17,06.09.2022,0.25
18,07.09.2022,0.49
19,08.09.2022,0.25
20,09.09.2022,0.08
21,11.09.2022,0.1
22,12.09.2022,0.22
23,13.09.2022,0.15
24,14.09.2022,0.1
25,16.09.2022,0.04
26,17.09.2022,0.09
27,18.09.2022,0.02
28,21.09.2022,0.02
29,22.09.2022,0.07
