,Date,Price (Euros)
0,24.08.2022,0.18
1,25.08.2022,0.12
2,26.08.2022,0.33
3,27.08.2022,0.13
4,28.08.2022,0.21
5,29.08.2022,0.19
6,30.08.2022,0.14
7,31.08.2022,0.21
8,01.09.2022,0.15
9,02.09.2022,0.21
10,03.09.2022,0.22
11,04.09.2022,0.39
12,05.09.2022,0.22
13,06.09.2022,0.6
14,07.09.2022,0.16
15,08.09.2022,0.26
16,09.09.2022,0.26
17,10.09.2022,0.25
18,11.09.2022,0.15
19,12.09.2022,0.18
20,13.09.2022,0.31
21,14.09.2022,0.23
22,15.09.2022,0.16
23,16.09.2022,0.19
24,17.09.2022,0.2
25,18.09.2022,0.23
26,19.09.2022,0.31
27,20.09.2022,0.29
28,21.09.2022,0.21
29,22.09.2022,0.18
