,Date,Price (Euros)
0,30.07.2022,0.1
1,31.07.2022,0.27
2,03.08.2022,0.05
3,04.08.2022,0.22
4,07.08.2022,0.1
5,08.08.2022,0.13
6,11.08.2022,0.05
7,14.08.2022,0.02
8,17.08.2022,0.19
9,18.08.2022,0.02
10,19.08.2022,0.24
11,20.08.2022,0.1
12,23.08.2022,0.1
13,24.08.2022,0.1
14,25.08.2022,0.09
15,26.08.2022,0.33
16,28.08.2022,0.02
17,29.08.2022,0.1
18,30.08.2022,0.1
19,01.09.2022,0.29
20,05.09.2022,0.1
21,06.09.2022,0.02
22,09.09.2022,0.25
23,10.09.2022,0.1
24,12.09.2022,0.05
25,13.09.2022,0.15
26,15.09.2022,0.08
27,18.09.2022,0.04
28,19.09.2022,0.1
29,20.09.2022,0.02
