,Date,Price (Euros)
0,11.08.2022,0.34
1,12.08.2022,0.59
2,13.08.2022,0.16
3,16.08.2022,0.98
4,18.08.2022,0.3
5,19.08.2022,0.64
6,20.08.2022,0.25
7,22.08.2022,0.3
8,23.08.2022,0.4
9,24.08.2022,0.5
10,25.08.2022,0.4
11,27.08.2022,0.35
12,28.08.2022,0.23
13,31.08.2022,0.23
14,01.09.2022,0.39
15,04.09.2022,0.99
16,05.09.2022,0.99
17,07.09.2022,2.0
18,08.09.2022,0.4
19,09.09.2022,0.65
20,10.09.2022,0.8
21,13.09.2022,0.46
22,14.09.2022,0.49
23,16.09.2022,0.72
24,17.09.2022,0.3
25,18.09.2022,0.25
26,19.09.2022,0.5
27,20.09.2022,0.3
28,21.09.2022,0.45
29,23.09.2022,1.0
