,Date,Price (Euros)
0,03.08.2022,0.17
1,05.08.2022,0.21
2,06.08.2022,0.07
3,08.08.2022,0.27
4,10.08.2022,0.15
5,11.08.2022,0.05
6,12.08.2022,0.17
7,14.08.2022,0.05
8,16.08.2022,0.12
9,19.08.2022,0.02
10,20.08.2022,0.28
11,21.08.2022,0.18
12,22.08.2022,0.04
13,23.08.2022,0.07
14,24.08.2022,0.02
15,25.08.2022,0.13
16,26.08.2022,0.15
17,27.08.2022,0.04
18,28.08.2022,0.05
19,29.08.2022,0.29
20,30.08.2022,0.1
21,31.08.2022,0.11
22,01.09.2022,0.02
23,09.09.2022,0.18
24,13.09.2022,0.05
25,15.09.2022,0.02
26,16.09.2022,0.4
27,20.09.2022,0.02
28,21.09.2022,0.05
29,22.09.2022,0.29
