,Date,Price (Euros)
0,23.06.2022,0.02
1,28.06.2022,0.13
2,29.06.2022,0.02
3,30.06.2022,0.04
4,01.07.2022,0.02
5,05.07.2022,0.04
6,06.07.2022,0.1
7,10.07.2022,0.04
8,14.07.2022,0.15
9,18.07.2022,0.15
10,20.07.2022,0.19
11,21.07.2022,0.1
12,22.07.2022,0.03
13,25.07.2022,0.23
14,27.07.2022,0.06
15,28.07.2022,0.02
16,30.07.2022,0.11
17,31.07.2022,0.35
18,02.08.2022,0.25
19,06.08.2022,0.05
20,14.08.2022,0.03
21,15.08.2022,0.02
22,18.08.2022,0.02
23,24.08.2022,0.12
24,01.09.2022,0.02
25,04.09.2022,0.06
26,11.09.2022,0.15
27,15.09.2022,0.02
28,18.09.2022,0.02
29,21.09.2022,0.02
