,Date,Price (Euros)
0,07.08.2022,0.25
1,08.08.2022,0.18
2,09.08.2022,0.02
3,10.08.2022,0.12
4,12.08.2022,0.05
5,13.08.2022,0.02
6,14.08.2022,0.03
7,16.08.2022,0.19
8,17.08.2022,0.08
9,20.08.2022,0.02
10,22.08.2022,0.02
11,23.08.2022,0.12
12,24.08.2022,0.25
13,25.08.2022,0.09
14,27.08.2022,0.07
15,28.08.2022,0.28
16,31.08.2022,0.14
17,01.09.2022,0.12
18,02.09.2022,0.09
19,03.09.2022,0.21
20,05.09.2022,0.36
21,06.09.2022,0.23
22,07.09.2022,0.11
23,10.09.2022,0.05
24,12.09.2022,0.1
25,14.09.2022,0.05
26,18.09.2022,0.28
27,20.09.2022,0.06
28,21.09.2022,0.04
29,22.09.2022,0.29
