,Date,Price (Euros)
0,05.07.2022,0.53
1,06.07.2022,0.44
2,07.07.2022,0.1
3,10.07.2022,0.74
4,11.07.2022,0.1
5,12.07.2022,0.35
6,13.07.2022,0.5
7,19.07.2022,0.5
8,22.07.2022,0.45
9,23.07.2022,1.31
10,24.07.2022,0.25
11,27.07.2022,1.55
12,28.07.2022,0.3
13,30.07.2022,0.28
14,31.07.2022,0.5
15,01.08.2022,0.75
16,06.08.2022,0.4
17,13.08.2022,1.47
18,14.08.2022,0.1
19,16.08.2022,0.74
20,21.08.2022,0.32
21,22.08.2022,0.35
22,24.08.2022,0.98
23,25.08.2022,0.18
24,31.08.2022,0.77
25,01.09.2022,0.79
26,07.09.2022,1.12
27,18.09.2022,0.19
28,20.09.2022,0.99
29,21.09.2022,0.19
