,Date,Price (Euros)
0,15.07.2022,0.03
1,22.07.2022,0.09
2,26.07.2022,0.03
3,27.07.2022,0.04
4,30.07.2022,0.04
5,31.07.2022,0.03
6,01.08.2022,0.09
7,02.08.2022,0.03
8,03.08.2022,0.02
9,04.08.2022,0.02
10,09.08.2022,0.02
11,14.08.2022,0.02
12,16.08.2022,0.03
13,17.08.2022,0.02
14,20.08.2022,0.29
15,21.08.2022,0.02
16,22.08.2022,0.03
17,24.08.2022,0.02
18,25.08.2022,0.38
19,26.08.2022,0.02
20,27.08.2022,0.05
21,28.08.2022,0.02
22,31.08.2022,0.04
23,01.09.2022,0.09
24,05.09.2022,0.03
25,09.09.2022,0.05
26,11.09.2022,0.1
27,13.09.2022,0.03
28,14.09.2022,0.12
29,22.09.2022,0.05
