,Date,Price (Euros)
0,08.06.2022,0.02
1,25.06.2022,0.02
2,27.06.2022,0.04
3,01.07.2022,0.02
4,02.07.2022,0.02
5,03.07.2022,0.02
6,05.07.2022,0.15
7,07.07.2022,0.02
8,08.07.2022,0.02
9,09.07.2022,0.1
10,14.07.2022,0.07
11,15.07.2022,0.05
12,27.07.2022,0.25
13,29.07.2022,0.16
14,30.07.2022,0.09
15,05.08.2022,0.05
16,06.08.2022,0.02
17,09.08.2022,0.3
18,14.08.2022,0.49
19,22.08.2022,0.05
20,23.08.2022,0.09
21,24.08.2022,0.2
22,29.08.2022,0.15
23,30.08.2022,0.02
24,05.09.2022,0.02
25,06.09.2022,0.04
26,09.09.2022,0.16
27,15.09.2022,0.1
28,18.09.2022,0.02
29,21.09.2022,0.02
