,Date,Price (Euros)
0,25.05.2022,0.02
1,27.05.2022,0.05
2,01.06.2022,0.04
3,04.06.2022,0.02
4,05.06.2022,0.15
5,07.06.2022,0.02
6,08.06.2022,0.25
7,10.06.2022,0.22
8,11.06.2022,0.02
9,25.06.2022,0.02
10,28.06.2022,0.15
11,30.06.2022,0.05
12,01.07.2022,0.02
13,05.07.2022,0.12
14,08.07.2022,0.02
15,12.07.2022,0.02
16,15.07.2022,0.05
17,20.07.2022,0.15
18,21.07.2022,0.04
19,25.07.2022,0.2
20,10.08.2022,0.02
21,14.08.2022,0.09
22,19.08.2022,0.02
23,29.08.2022,0.15
24,30.08.2022,0.02
25,04.09.2022,0.02
26,12.09.2022,0.05
27,15.09.2022,0.05
28,21.09.2022,0.02
29,22.09.2022,0.05
