,Date,Price (Euros)
0,29.07.2022,0.1
1,30.07.2022,0.19
2,03.08.2022,0.25
3,04.08.2022,0.15
4,06.08.2022,0.03
5,07.08.2022,0.02
6,08.08.2022,0.18
7,09.08.2022,0.05
8,11.08.2022,0.25
9,14.08.2022,0.13
10,15.08.2022,0.2
11,18.08.2022,0.03
12,21.08.2022,0.2
13,26.08.2022,0.02
14,01.09.2022,0.05
15,02.09.2022,0.35
16,04.09.2022,0.02
17,05.09.2022,0.05
18,06.09.2022,0.02
19,08.09.2022,0.11
20,10.09.2022,0.02
21,11.09.2022,0.04
22,12.09.2022,0.2
23,13.09.2022,0.15
24,14.09.2022,0.06
25,15.09.2022,0.1
26,17.09.2022,0.22
27,20.09.2022,0.25
28,21.09.2022,0.1
29,22.09.2022,0.14
