,Date,Price (Euros)
0,30.06.2022,0.1
1,01.07.2022,0.02
2,04.07.2022,0.1
3,06.07.2022,0.02
4,07.07.2022,0.02
5,08.07.2022,0.02
6,11.07.2022,0.02
7,12.07.2022,0.04
8,14.07.2022,0.12
9,15.07.2022,0.02
10,16.07.2022,0.11
11,18.07.2022,0.02
12,19.07.2022,0.05
13,23.07.2022,0.1
14,31.07.2022,0.02
15,19.08.2022,0.02
16,20.08.2022,0.07
17,22.08.2022,0.15
18,23.08.2022,0.03
19,26.08.2022,0.02
20,29.08.2022,0.05
21,30.08.2022,0.08
22,01.09.2022,0.05
23,08.09.2022,0.15
24,09.09.2022,0.02
25,11.09.2022,0.05
26,15.09.2022,0.05
27,17.09.2022,0.02
28,18.09.2022,0.02
29,21.09.2022,0.02
