,Date,Price (Euros)
0,11.02.2022,0.07
1,14.02.2022,0.02
2,22.02.2022,0.2
3,09.03.2022,0.02
4,12.04.2022,0.05
5,14.04.2022,0.04
6,18.04.2022,0.02
7,25.04.2022,0.02
8,27.04.2022,0.1
9,12.05.2022,0.15
10,19.05.2022,0.02
11,22.05.2022,0.09
12,25.05.2022,0.02
13,27.05.2022,0.05
14,29.05.2022,0.1
15,07.06.2022,0.03
16,08.06.2022,0.02
17,19.06.2022,0.02
18,01.07.2022,0.02
19,06.07.2022,0.02
20,12.08.2022,0.05
21,14.08.2022,0.02
22,19.08.2022,0.02
23,20.08.2022,0.08
24,29.08.2022,0.02
25,30.08.2022,0.03
26,04.09.2022,0.04
27,08.09.2022,0.02
28,12.09.2022,0.05
29,21.09.2022,0.02
