,Date,Price (Euros)
0,01.08.2022,29.6
1,02.08.2022,24.67
2,03.08.2022,26.0
3,04.08.2022,29.33
4,05.08.2022,23.43
5,08.08.2022,27.42
6,09.08.2022,29.44
7,10.08.2022,24.25
8,11.08.2022,27.93
9,12.08.2022,25.5
10,13.08.2022,25.5
11,15.08.2022,23.99
12,16.08.2022,26.93
13,17.08.2022,23.95
14,18.08.2022,26.16
15,19.08.2022,25.99
16,20.08.2022,23.28
17,22.08.2022,29.99
18,23.08.2022,22.5
19,24.08.2022,21.8
20,27.08.2022,22.49
21,29.08.2022,18.5
22,30.08.2022,20.0
23,02.09.2022,20.0
24,04.09.2022,20.0
25,06.09.2022,21.98
26,07.09.2022,27.17
27,13.09.2022,23.99
28,17.09.2022,28.33
29,21.09.2022,19.0
