,Date,Price (Euros)
0,10.08.2022,0.1
1,11.08.2022,0.24
2,16.08.2022,0.58
3,17.08.2022,0.45
4,18.08.2022,0.05
5,19.08.2022,0.18
6,20.08.2022,0.2
7,22.08.2022,0.08
8,23.08.2022,0.19
9,27.08.2022,0.15
10,28.08.2022,0.11
11,30.08.2022,0.1
12,31.08.2022,0.19
13,01.09.2022,0.22
14,03.09.2022,0.25
15,05.09.2022,0.05
16,06.09.2022,0.11
17,08.09.2022,0.75
18,09.09.2022,0.16
19,10.09.2022,0.02
20,12.09.2022,0.25
21,13.09.2022,0.16
22,14.09.2022,0.15
23,15.09.2022,0.27
24,17.09.2022,0.16
25,18.09.2022,0.39
26,19.09.2022,0.3
27,20.09.2022,0.33
28,21.09.2022,0.28
29,22.09.2022,0.19
