,Date,Price (Euros)
0,13.06.2022,59.97
1,14.06.2022,44.99
2,21.06.2022,75.99
3,22.06.2022,73.49
4,25.06.2022,41.99
5,26.06.2022,42.0
6,28.06.2022,79.94
7,29.06.2022,42.0
8,02.07.2022,68.95
9,05.07.2022,79.5
10,08.07.2022,65.0
11,11.07.2022,69.99
12,13.07.2022,59.0
13,16.07.2022,79.99
14,19.07.2022,41.99
15,26.07.2022,64.95
16,03.08.2022,68.0
17,05.08.2022,35.0
18,11.08.2022,35.0
19,16.08.2022,64.89
20,17.08.2022,60.0
21,26.08.2022,60.0
22,31.08.2022,49.8
23,02.09.2022,42.99
24,03.09.2022,64.0
25,04.09.2022,42.0
26,05.09.2022,44.09
27,08.09.2022,64.0
28,17.09.2022,59.99
29,21.09.2022,67.0
