,Date,Price (Euros)
0,30.06.2022,0.04
1,01.07.2022,0.02
2,03.07.2022,0.02
3,04.07.2022,0.09
4,05.07.2022,0.06
5,08.07.2022,0.02
6,09.07.2022,0.02
7,10.07.2022,0.02
8,19.07.2022,0.02
9,20.07.2022,0.02
10,22.07.2022,0.02
11,26.07.2022,0.07
12,30.07.2022,0.2
13,02.08.2022,0.15
14,03.08.2022,0.05
15,04.08.2022,0.13
16,05.08.2022,0.03
17,14.08.2022,0.1
18,17.08.2022,0.25
19,19.08.2022,0.02
20,24.08.2022,0.02
21,26.08.2022,0.02
22,27.08.2022,0.02
23,31.08.2022,0.03
24,04.09.2022,0.09
25,12.09.2022,0.02
26,13.09.2022,0.2
27,18.09.2022,0.02
28,20.09.2022,0.02
29,23.09.2022,0.02
