,Date,Price (Euros)
0,07.08.2022,2.45
1,08.08.2022,1.66
2,09.08.2022,1.23
3,10.08.2022,0.9
4,13.08.2022,0.99
5,14.08.2022,1.4
6,16.08.2022,1.26
7,17.08.2022,0.9
8,18.08.2022,1.84
9,21.08.2022,1.24
10,22.08.2022,0.6
11,23.08.2022,2.03
12,24.08.2022,1.0
13,27.08.2022,1.76
14,28.08.2022,1.66
15,29.08.2022,1.4
16,30.08.2022,1.94
17,31.08.2022,1.2
18,01.09.2022,1.52
19,03.09.2022,1.55
20,04.09.2022,1.19
21,05.09.2022,1.49
22,07.09.2022,1.5
23,08.09.2022,1.96
24,12.09.2022,3.25
25,14.09.2022,1.15
26,16.09.2022,0.89
27,19.09.2022,0.95
28,20.09.2022,1.5
29,22.09.2022,2.35
