,Date,Price (Euros)
0,12.08.2022,0.46
1,13.08.2022,0.2
2,16.08.2022,0.97
3,17.08.2022,0.7
4,18.08.2022,0.45
5,19.08.2022,0.68
6,20.08.2022,0.6
7,21.08.2022,1.0
8,22.08.2022,1.4
9,23.08.2022,0.8
10,24.08.2022,0.82
11,25.08.2022,0.95
12,27.08.2022,0.5
13,28.08.2022,1.85
14,29.08.2022,0.79
15,30.08.2022,0.59
16,31.08.2022,0.69
17,01.09.2022,2.5
18,02.09.2022,0.42
19,04.09.2022,0.31
20,05.09.2022,1.5
21,06.09.2022,0.88
22,07.09.2022,0.5
23,08.09.2022,0.47
24,11.09.2022,0.36
25,13.09.2022,0.63
26,14.09.2022,1.11
27,16.09.2022,0.2
28,20.09.2022,1.24
29,22.09.2022,0.54
