,Date,Price (Euros)
0,26.06.2022,0.51
1,27.06.2022,0.02
2,01.07.2022,0.02
3,05.07.2022,0.02
4,07.07.2022,0.02
5,09.07.2022,0.02
6,10.07.2022,0.02
7,11.07.2022,0.02
8,13.07.2022,0.02
9,16.07.2022,0.02
10,22.07.2022,0.21
11,24.07.2022,0.05
12,26.07.2022,0.02
13,02.08.2022,0.02
14,12.08.2022,0.05
15,14.08.2022,0.02
16,16.08.2022,0.02
17,17.08.2022,0.19
18,18.08.2022,0.02
19,19.08.2022,0.02
20,23.08.2022,0.03
21,26.08.2022,0.02
22,06.09.2022,0.02
23,07.09.2022,0.19
24,10.09.2022,0.03
25,13.09.2022,0.03
26,16.09.2022,0.02
27,18.09.2022,0.02
28,19.09.2022,0.02
29,21.09.2022,0.02
