,Date,Price (Euros)
0,27.07.2022,8.29
1,29.07.2022,6.98
2,30.07.2022,5.95
3,01.08.2022,10.58
4,05.08.2022,8.0
5,07.08.2022,9.0
6,08.08.2022,4.5
7,09.08.2022,10.0
8,12.08.2022,8.17
9,13.08.2022,7.39
10,15.08.2022,5.23
11,16.08.2022,6.99
12,18.08.2022,6.02
13,19.08.2022,7.48
14,24.08.2022,4.66
15,25.08.2022,7.83
16,28.08.2022,9.5
17,29.08.2022,8.0
18,30.08.2022,7.5
19,31.08.2022,14.99
20,04.09.2022,7.49
21,06.09.2022,5.5
22,07.09.2022,6.75
23,08.09.2022,6.0
24,09.09.2022,11.0
25,10.09.2022,6.0
26,18.09.2022,6.75
27,19.09.2022,10.49
28,21.09.2022,4.7
29,22.09.2022,6.99
