,Date,Price (Euros)
0,11.07.2022,0.02
1,21.07.2022,0.14
2,23.07.2022,0.04
3,25.07.2022,0.25
4,29.07.2022,0.05
5,30.07.2022,0.16
6,31.07.2022,0.14
7,01.08.2022,0.1
8,02.08.2022,0.22
9,03.08.2022,0.25
10,05.08.2022,0.15
11,07.08.2022,0.25
12,10.08.2022,0.02
13,11.08.2022,0.1
14,16.08.2022,0.02
15,22.08.2022,0.04
16,23.08.2022,0.05
17,29.08.2022,0.25
18,30.08.2022,0.04
19,01.09.2022,0.02
20,02.09.2022,0.1
21,05.09.2022,0.1
22,07.09.2022,0.19
23,08.09.2022,0.1
24,09.09.2022,0.25
25,13.09.2022,0.1
26,16.09.2022,0.05
27,17.09.2022,0.1
28,18.09.2022,0.13
29,19.09.2022,0.02
