,Date,Price (Euros)
0,25.01.2022,9.48
1,30.01.2022,9.9
2,01.02.2022,9.95
3,02.02.2022,7.95
4,27.02.2022,3.9
5,11.03.2022,8.45
6,14.03.2022,9.5
7,20.03.2022,9.0
8,08.04.2022,13.9
9,09.05.2022,3.0
10,11.05.2022,3.0
11,15.05.2022,4.0
12,25.05.2022,1.8
13,02.06.2022,9.9
14,05.06.2022,3.0
15,06.06.2022,5.62
16,11.06.2022,2.69
17,12.06.2022,9.25
18,15.06.2022,15.0
19,20.06.2022,6.0
20,16.07.2022,2.99
21,20.07.2022,6.0
22,21.07.2022,9.95
23,16.08.2022,2.95
24,26.08.2022,2.99
25,28.08.2022,3.5
26,30.08.2022,2.79
27,08.09.2022,7.89
28,10.09.2022,3.48
29,16.09.2022,3.48
