,Date,Price (Euros)
0,06.05.2021,0.09
1,11.05.2021,2.3
2,17.05.2021,0.03
3,05.06.2021,0.05
4,07.06.2021,0.24
5,14.06.2021,2.0
6,25.06.2021,2.1
7,06.07.2021,0.1
8,13.07.2021,2.0
9,20.07.2021,2.1
10,05.08.2021,2.3
11,13.08.2021,0.29
12,04.09.2021,2.3
13,19.09.2021,0.35
14,23.09.2021,0.15
15,22.10.2021,0.49
16,26.10.2021,2.2
17,04.11.2021,2.0
18,06.12.2021,2.1
19,02.01.2022,0.39
20,02.02.2022,1.5
21,07.03.2022,2.1
22,15.03.2022,0.48
23,04.04.2022,2.0
24,08.04.2022,0.26
25,09.05.2022,0.49
26,11.06.2022,0.29
27,19.07.2022,0.24
28,06.09.2022,2.0
29,07.09.2022,0.49
