,Date,Price (Euros)
0,20.08.2022,0.3
1,21.08.2022,0.41
2,22.08.2022,0.35
3,23.08.2022,0.28
4,25.08.2022,0.3
5,26.08.2022,0.21
6,28.08.2022,0.28
7,29.08.2022,0.1
8,30.08.2022,0.08
9,31.08.2022,0.19
10,01.09.2022,0.36
11,02.09.2022,0.1
12,04.09.2022,0.17
13,05.09.2022,0.45
14,06.09.2022,0.18
15,07.09.2022,0.24
16,08.09.2022,0.37
17,09.09.2022,0.49
18,10.09.2022,0.1
19,11.09.2022,0.25
20,12.09.2022,0.64
21,13.09.2022,0.33
22,14.09.2022,0.43
23,15.09.2022,0.42
24,16.09.2022,0.36
25,17.09.2022,0.13
26,18.09.2022,0.21
27,20.09.2022,0.24
28,21.09.2022,0.15
29,22.09.2022,0.4
