,Date,Price (Euros)
0,09.08.2022,0.29
1,10.08.2022,0.09
2,13.08.2022,0.15
3,14.08.2022,0.15
4,15.08.2022,0.19
5,16.08.2022,0.16
6,17.08.2022,0.2
7,18.08.2022,0.25
8,22.08.2022,0.15
9,23.08.2022,0.25
10,24.08.2022,0.53
11,26.08.2022,0.45
12,27.08.2022,0.1
13,28.08.2022,0.1
14,29.08.2022,0.88
15,30.08.2022,0.12
16,31.08.2022,0.58
17,02.09.2022,0.18
18,04.09.2022,0.22
19,05.09.2022,0.79
20,06.09.2022,0.08
21,07.09.2022,0.49
22,08.09.2022,0.05
23,10.09.2022,0.29
24,12.09.2022,0.1
25,15.09.2022,0.53
26,16.09.2022,0.09
27,17.09.2022,0.13
28,18.09.2022,0.16
29,22.09.2022,1.45
