,Date,Price (Euros)
0,18.08.2022,1.04
1,19.08.2022,0.7
2,20.08.2022,0.73
3,21.08.2022,0.8
4,22.08.2022,0.68
5,23.08.2022,0.86
6,25.08.2022,1.11
7,26.08.2022,1.75
8,27.08.2022,0.81
9,28.08.2022,0.79
10,29.08.2022,0.58
11,30.08.2022,1.12
12,31.08.2022,1.0
13,01.09.2022,1.16
14,02.09.2022,1.2
15,03.09.2022,0.87
16,04.09.2022,0.98
17,06.09.2022,1.0
18,07.09.2022,0.87
19,08.09.2022,0.43
20,09.09.2022,0.76
21,11.09.2022,1.5
22,12.09.2022,0.74
23,13.09.2022,0.98
24,15.09.2022,0.48
25,16.09.2022,0.81
26,18.09.2022,0.99
27,19.09.2022,0.89
28,20.09.2022,3.24
29,21.09.2022,1.48
