,Date,Price (Euros)
0,14.04.2022,0.25
1,18.04.2022,0.14
2,19.04.2022,1.5
3,21.04.2022,0.25
4,30.04.2022,0.27
5,03.05.2022,0.19
6,11.05.2022,0.12
7,14.05.2022,0.16
8,19.05.2022,0.1
9,24.05.2022,0.25
10,26.06.2022,0.35
11,29.06.2022,0.12
12,05.07.2022,0.15
13,06.07.2022,0.41
14,13.07.2022,0.49
15,21.07.2022,0.17
16,23.07.2022,0.15
17,27.07.2022,0.12
18,03.08.2022,0.35
19,04.08.2022,0.25
20,07.08.2022,0.12
21,12.08.2022,0.2
22,14.08.2022,0.49
23,21.08.2022,0.17
24,27.08.2022,0.45
25,28.08.2022,0.25
26,01.09.2022,0.5
27,07.09.2022,0.1
28,15.09.2022,0.29
29,22.09.2022,0.24
