,Date,Price (Euros)
0,27.03.2022,0.04
1,31.03.2022,0.09
2,01.04.2022,0.03
3,03.04.2022,0.02
4,05.04.2022,0.02
5,06.04.2022,0.1
6,13.04.2022,0.02
7,20.04.2022,0.02
8,24.04.2022,0.15
9,06.05.2022,0.02
10,08.05.2022,0.02
11,09.05.2022,0.02
12,11.05.2022,0.02
13,15.05.2022,0.04
14,16.05.2022,0.02
15,17.05.2022,0.02
16,20.05.2022,0.02
17,24.05.2022,0.03
18,30.05.2022,0.02
19,31.05.2022,0.14
20,01.06.2022,0.05
21,02.07.2022,0.09
22,03.07.2022,0.02
23,11.07.2022,0.02
24,21.07.2022,0.02
25,04.08.2022,0.05
26,10.08.2022,0.1
27,11.08.2022,0.02
28,25.08.2022,0.02
29,04.09.2022,0.02
