,Date,Price (Euros)
0,22.07.2022,0.1
1,23.07.2022,0.04
2,26.07.2022,0.54
3,27.07.2022,0.02
4,31.07.2022,0.45
5,01.08.2022,0.59
6,02.08.2022,0.16
7,04.08.2022,0.39
8,06.08.2022,0.2
9,07.08.2022,0.05
10,09.08.2022,0.02
11,11.08.2022,0.1
12,14.08.2022,0.07
13,16.08.2022,0.02
14,18.08.2022,0.21
15,19.08.2022,0.19
16,20.08.2022,0.05
17,22.08.2022,0.02
18,23.08.2022,0.1
19,24.08.2022,0.09
20,26.08.2022,0.11
21,29.08.2022,0.02
22,30.08.2022,0.03
23,31.08.2022,0.11
24,01.09.2022,0.24
25,03.09.2022,0.02
26,06.09.2022,0.05
27,07.09.2022,0.14
28,21.09.2022,0.02
29,22.09.2022,0.1
