,Date,Price (Euros)
0,24.04.2022,0.29
1,28.04.2022,0.49
2,30.04.2022,0.34
3,03.05.2022,0.39
4,10.05.2022,2.5
5,13.05.2022,0.35
6,16.05.2022,0.98
7,17.05.2022,0.31
8,19.05.2022,0.9
9,26.05.2022,0.15
10,27.05.2022,0.38
11,28.05.2022,1.2
12,31.05.2022,0.48
13,07.06.2022,0.49
14,11.06.2022,0.48
15,14.06.2022,0.55
16,28.06.2022,1.5
17,29.06.2022,1.5
18,19.07.2022,0.3
19,22.07.2022,0.49
20,03.08.2022,0.34
21,04.08.2022,0.25
22,05.08.2022,2.5
23,16.08.2022,0.25
24,18.08.2022,0.25
25,19.08.2022,1.0
26,20.08.2022,0.44
27,02.09.2022,0.25
28,08.09.2022,0.4
29,14.09.2022,0.99
