,Date,Price (Euros)
0,07.07.2022,0.57
1,08.07.2022,0.41
2,12.07.2022,0.5
3,13.07.2022,0.25
4,15.07.2022,0.58
5,16.07.2022,0.42
6,19.07.2022,1.98
7,20.07.2022,1.5
8,21.07.2022,0.56
9,26.07.2022,0.4
10,27.07.2022,0.3
11,30.07.2022,0.49
12,31.07.2022,0.4
13,03.08.2022,0.48
14,09.08.2022,0.49
15,13.08.2022,0.79
16,16.08.2022,0.49
17,20.08.2022,0.75
18,27.08.2022,0.5
19,28.08.2022,0.46
20,29.08.2022,0.48
21,31.08.2022,0.79
22,04.09.2022,0.4
23,10.09.2022,1.5
24,11.09.2022,0.45
25,12.09.2022,0.49
26,15.09.2022,0.49
27,17.09.2022,0.56
28,21.09.2022,0.63
29,22.09.2022,0.78
