,Date,Price (Euros)
0,10.06.2022,0.76
1,11.06.2022,0.55
2,21.06.2022,0.98
3,22.06.2022,0.74
4,24.06.2022,0.19
5,26.06.2022,0.19
6,27.06.2022,0.85
7,29.06.2022,0.79
8,01.07.2022,1.46
9,07.07.2022,0.64
10,12.07.2022,2.0
11,13.07.2022,0.65
12,14.07.2022,0.88
13,15.07.2022,0.79
14,18.07.2022,0.3
15,21.07.2022,1.5
16,23.07.2022,1.51
17,25.07.2022,0.25
18,31.07.2022,0.15
19,01.08.2022,0.25
20,06.08.2022,0.75
21,17.08.2022,0.35
22,20.08.2022,2.78
23,30.08.2022,0.69
24,31.08.2022,1.5
25,05.09.2022,0.95
26,12.09.2022,0.95
27,17.09.2022,1.5
28,18.09.2022,0.95
29,22.09.2022,0.34
