,Date,Price (Euros)
0,17.06.2022,0.03
1,20.06.2022,0.19
2,21.06.2022,0.02
3,24.06.2022,0.02
4,29.06.2022,0.19
5,30.06.2022,0.14
6,02.07.2022,0.19
7,07.07.2022,0.05
8,08.07.2022,0.02
9,11.07.2022,0.02
10,13.07.2022,0.49
11,15.07.2022,0.09
12,18.07.2022,0.02
13,20.07.2022,0.29
14,21.07.2022,0.03
15,25.07.2022,0.05
16,27.07.2022,0.19
17,29.07.2022,0.02
18,02.08.2022,0.12
19,04.08.2022,0.02
20,05.08.2022,0.09
21,09.08.2022,0.02
22,13.08.2022,0.02
23,14.08.2022,0.05
24,23.08.2022,0.02
25,31.08.2022,0.19
26,11.09.2022,0.33
27,15.09.2022,0.02
28,18.09.2022,0.02
29,21.09.2022,0.02
