,Date,Price (Euros)
0,20.07.2022,0.03
1,22.07.2022,0.02
2,25.07.2022,0.02
3,26.07.2022,0.15
4,27.07.2022,0.16
5,28.07.2022,0.02
6,29.07.2022,0.02
7,03.08.2022,0.26
8,04.08.2022,0.02
9,08.08.2022,0.02
10,10.08.2022,0.09
11,13.08.2022,0.03
12,14.08.2022,0.39
13,15.08.2022,0.02
14,20.08.2022,0.03
15,23.08.2022,0.02
16,24.08.2022,0.14
17,26.08.2022,0.09
18,27.08.2022,0.09
19,28.08.2022,0.02
20,29.08.2022,0.02
21,01.09.2022,0.09
22,04.09.2022,0.02
23,05.09.2022,0.02
24,07.09.2022,0.02
25,10.09.2022,0.25
26,12.09.2022,0.02
27,17.09.2022,0.25
28,21.09.2022,0.02
29,22.09.2022,0.02
